,Tournament,Tournament_ID
1008,ASB Classic,10
1009,ASB Classic,10
1010,ASB Classic,10
1011,ASB Classic,10
1012,ASB Classic,10
1013,ASB Classic,10
1014,ASB Classic,10
1015,ASB Classic,10
1016,ASB Classic,10
1017,ASB Classic,10
1018,Delray Beach Open,11
1019,Delray Beach Open,11
1020,Delray Beach Open,11
1021,Delray Beach Open,11
1022,Delray Beach Open,11
1023,Delray Beach Open,11
1024,Delray Beach Open,11
1025,Delray Beach Open,11
1026,Delray Beach Open,11
1027,Delray Beach Open,11
1028,Delray Beach Open,11
1029,Delray Beach Open,11
1030,Delray Beach Open,11
1031,Delray Beach Open,11
1032,Delray Beach Open,11
1033,Delray Beach Open,11
1034,Delray Beach Open,11
1035,Delray Beach Open,11
1036,Delray Beach Open,11
1037,Delray Beach Open,11
1038,Delray Beach Open,11
1039,Delray Beach Open,11
1040,Delray Beach Open,11
1041,Delray Beach Open,11
1042,Delray Beach Open,11
1043,Delray Beach Open,11
1044,Delray Beach Open,11
1045,Melbourne Summer Set,12
1046,Melbourne Summer Set,12
1047,Melbourne Summer Set,12
1048,Melbourne Summer Set,12
1049,Melbourne Summer Set,12
1050,Melbourne Summer Set,12
1051,Melbourne Summer Set,12
1052,Melbourne Summer Set,12
1053,Melbourne Summer Set,12
1054,Melbourne Summer Set,12
1055,Melbourne Summer Set,12
1056,Melbourne Summer Set,12
1057,Melbourne Summer Set,12
1058,Melbourne Summer Set,12
1059,Melbourne Summer Set,12
1060,Melbourne Summer Set,12
1061,Melbourne Summer Set,12
1062,Melbourne Summer Set,12
1063,Melbourne Summer Set,12
1064,Melbourne Summer Set,12
1065,Melbourne Summer Set,12
1066,Melbourne Summer Set,12
1067,Melbourne Summer Set,12
1068,Melbourne Summer Set,12
1069,Melbourne Summer Set,12
1070,Melbourne Summer Set,12
1071,Melbourne Summer Set,12
1072,Maharashtra Open,13
1073,Maharashtra Open,13
1074,Maharashtra Open,13
1075,Maharashtra Open,13
1076,Maharashtra Open,13
1077,Maharashtra Open,13
1078,Maharashtra Open,13
1079,Maharashtra Open,13
1080,Maharashtra Open,13
1081,Maharashtra Open,13
1082,Maharashtra Open,13
1083,Maharashtra Open,13
1084,Maharashtra Open,13
1085,Maharashtra Open,13
1086,Maharashtra Open,13
1087,Maharashtra Open,13
